"Please be noted that the data below is part of the used large-scale projected transportation emissions data from 3,144 counties generated by the United States Environmental Protection Agency. The original data is too large to put in GitHub. Therefore, we put it at Cornell Box, which is accessible at [https://cornell.box.com/s/h8tcryjzb73v34ddqsoletd5jse153in]",,,,,,,,,,,,,,,,,,
geoid,year,sourcetype,fueltype,regclass,roadtype,emissions_98,emissions_2,emissions_3,emissions_31,emissions_33,emissions_100,emissions_106,emissions_107,emissions_110,emissions_116,emissions_117,vehicles,vmt
2230,2054,53,9,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1121,2017,51,1,41,3,0.1,0,0,0,0,0,0,0,0,0,0,0,62.4
1125,2017,53,2,46,2,789.3,1,2.3,0,0.2,0.1,0,0,0.1,0,0,568.5,753829
2063,2025,32,5,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,2028,61,9,46,4,0,0,0,0,0,0,0,0,0,0,0,0.3,10079.8
1085,2017,54,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5027,2019,53,3,47,2,1.3,0,0,0,0,0,0,0,0,0,0,0.3,953.7
5009,2012,52,9,41,4,0,0,0,0,0,0,0,0,0,0,0,0,35.3
5003,2015,62,2,47,4,2647.8,3.7,12,0,1,0.4,0.1,0,0.4,0,0,66.9,1331800
2100,2040,32,5,30,4,0.1,0,0,0,0,0,0,0,0,0,0,0.4,378.4
4027,2024,21,9,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4003,2044,52,9,47,4,0,0,0,0,0,0,0,0,0,0,0,91.7,313996
1117,2007,43,2,41,4,4.1,0,0,0,0,0,0,0,0,0,0,1.1,4205.6
4021,2018,43,3,47,5,75,0.8,0.1,0,0,0,0,0,0,0,0,6.2,33611.8
2013,2011,53,2,41,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0
2068,2019,51,3,47,3,24.7,0.3,0,0,0,0,0,0,0,0,0,0.5,13806.1
4023,2049,54,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,2037,31,2,30,4,227.9,1.2,0,0,0,0,0,0,0,0,0,301.6,763922
1021,2052,52,2,41,1,1376.9,3.8,5.6,0,1,0,0,0,0,0,0,0,0
2230,2048,62,2,47,2,70.2,0.1,0,0,0,0,0,0,0,0,0,9,43458.6
1103,2022,43,1,41,3,0.1,0,0,0,0,0,0,0,0,0,0,0,94.8
1049,2052,53,1,46,4,25,0.2,0,0,0,0,0,0,0,0,0,3.6,23879.2
4012,2025,43,2,42,1,2.4,0,0,0,0,0,0,0,0,0,0,0,0
1121,2049,41,1,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0.9
2122,2012,41,3,47,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2068,2021,41,2,46,2,3.6,0,0,0,0,0,0,0,0,0,0,10.5,2041
4001,2033,41,2,46,5,29.3,0,0.1,0,0,0,0,0,0,0,0,1,17807.8
1077,2043,51,2,46,4,10.5,0,0,0,0,0,0,0,0,0,0,1.5,7235.4
1047,2055,53,1,46,3,12.6,0.1,0,0,0,0,0,0,0,0,0,1.2,11694.4
1061,2018,53,1,41,4,85.5,0.6,0.1,0,0,0,0,0,0,0,0,36.1,93298
1035,2014,52,1,42,1,41,5.5,0.2,0,0,0,0,0,0,0,0,0,0
4025,2012,61,2,46,3,7658.1,10.8,42.1,0,2.8,1.5,0.2,0.1,1.4,0,0,217.9,4208060
5011,2016,52,9,41,3,0,0,0,0,0,0,0,0,0,0,0,0,8.8
4007,2054,61,2,47,2,2641.6,2.4,1.5,0,0.3,0,0.1,0.1,0,0,0,201.6,2005190
5025,2019,41,2,46,1,4.1,0,0,0,0,0,0,0,0,0,0,0,0
